               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                  50,              1.3106,              2.3305,               1.361,             0.42174,              0.2536,             0.26619,             0.16633,              1.9179,              2.4283,               1.875,            0.005149,            0.005149,            0.005149
                  51,              1.2973,              2.3279,              1.3498,             0.42707,             0.24405,              0.2586,              0.1756,              1.9338,              2.5388,              1.8744,             0.00505,             0.00505,             0.00505
                  52,              1.3066,              2.3232,               1.349,             0.43944,             0.25065,             0.26393,             0.17673,              1.9162,              2.5024,              1.8418,            0.004951,            0.004951,            0.004951
                  53,               1.295,              2.3238,              1.3468,             0.44173,             0.24535,             0.26513,             0.17004,              1.9211,              2.4871,              1.8489,            0.004852,            0.004852,            0.004852
                  54,              1.3036,              2.3074,              1.3584,             0.42528,             0.26944,             0.26824,             0.17496,              1.9219,              2.4316,              1.8656,            0.004753,            0.004753,            0.004753
                  55,              1.3129,              2.3307,              1.3622,             0.42763,             0.26295,             0.26067,             0.17227,              1.9116,              2.4767,              1.8394,            0.004654,            0.004654,            0.004654
                  56,              1.2781,              2.2852,              1.3288,              0.4289,             0.26815,             0.27328,             0.17682,              1.8911,              2.4174,               1.811,            0.004555,            0.004555,            0.004555
                  57,              1.2815,               2.293,              1.3339,             0.42946,             0.25917,             0.25622,             0.16976,              1.9091,              2.4721,              1.8286,            0.004456,            0.004456,            0.004456
                  58,              1.2812,              2.2971,              1.3304,              0.4402,             0.28416,              0.2775,             0.17881,              1.8948,              2.4653,              1.8182,            0.004357,            0.004357,            0.004357
                  59,              1.2901,              2.2919,              1.3357,             0.40304,             0.25608,             0.25799,             0.17387,              1.8978,              2.4688,              1.8336,            0.004258,            0.004258,            0.004258
                  60,              1.2548,              2.2607,              1.3313,             0.44902,             0.26841,             0.26185,             0.17294,              1.9032,              2.4375,              1.8226,            0.004159,            0.004159,            0.004159
                  61,              1.2397,              2.2259,              1.3164,             0.49001,             0.27345,             0.27275,             0.17727,              1.9071,              2.4935,              1.8288,             0.00406,             0.00406,             0.00406
                  62,               1.267,              2.2675,              1.3357,              0.5478,             0.26056,             0.26394,             0.17481,              1.8883,              2.4815,              1.8159,            0.003961,            0.003961,            0.003961
